time,open,high,low,close,volume
2020-01-01T00:00:00Z,1.91,3.91,-0.09,16.42,0
2020-01-02T00:00:00Z,4.62,6.62,2.62,13.71,0
2020-01-03T00:00:00Z,5.71,7.71,3.71,12.61,0
2020-01-04T00:00:00Z,5.38,7.38,3.38,12.95,0
2020-01-05T00:00:00Z,3.19,5.19,1.19,15.14,0
2020-01-06T00:00:00Z,3.0,5.0,1.0,15.33,0
2020-01-07T00:00:00Z,3.67,5.67,1.67,14.66,0
2020-01-08T00:00:00Z,0.93,2.94,-1.06,17.39,0
2020-01-09T00:00:00Z,2.27,4.27,0.27,16.06,0
2020-01-10T00:00:00Z,6.55,8.55,4.55,11.77,0
2020-01-11T00:00:00Z,6.9,8.9,4.9,11.43,0
2020-01-12T00:00:00Z,6.28,8.28,4.28,12.05,0
2020-01-13T00:00:00Z,4.25,6.25,2.25,14.07,0
2020-01-14T00:00:00Z,5.72,7.72,3.72,12.6,0
2020-01-15T00:00:00Z,5.38,7.38,3.38,12.95,0
2020-01-16T00:00:00Z,3.72,5.72,1.72,14.61,0
2020-01-17T00:00:00Z,0.5,2.5,-1.5,17.83,0
2020-01-18T00:00:00Z,1.06,3.06,-0.94,17.27,0
2020-01-19T00:00:00Z,-1.39,0.61,-3.39,19.72,0
2020-01-20T00:00:00Z,-2.0,0.0,-4.0,20.33,0
2020-01-21T00:00:00Z,-1.9,0.1,-3.9,20.23,0
2020-01-22T00:00:00Z,-0.21,1.79,-2.21,18.54,0
2020-01-23T00:00:00Z,1.94,3.94,-0.06,16.39,0
2020-01-24T00:00:00Z,3.66,5.66,1.66,14.67,0
2020-01-25T00:00:00Z,4.08,6.08,2.08,14.24,0
2020-01-26T00:00:00Z,4.12,6.12,2.12,14.21,0
2020-01-27T00:00:00Z,2.94,4.94,0.94,15.39,0
2020-01-28T00:00:00Z,3.22,5.22,1.22,15.11,0
2020-01-29T00:00:00Z,2.13,4.13,0.13,16.2,0
2020-01-30T00:00:00Z,1.0,3.0,-1.0,17.33,0
2020-01-31T00:00:00Z,2.59,4.59,0.59,15.74,0
2020-02-01T00:00:00Z,3.76,5.76,1.76,14.57,0
2020-02-02T00:00:00Z,5.99,7.99,3.99,12.34,0
2020-02-03T00:00:00Z,5.22,7.22,3.22,13.11,0
2020-02-04T00:00:00Z,4.89,6.89,2.89,13.43,0
2020-02-05T00:00:00Z,2.18,4.18,0.18,16.14,0
2020-02-06T00:00:00Z,2.37,4.37,0.37,15.96,0
2020-02-07T00:00:00Z,1.91,3.91,-0.09,16.42,0
2020-02-08T00:00:00Z,0.05,2.05,-1.95,18.28,0
2020-02-09T00:00:00Z,0.91,2.91,-1.09,17.42,0
2020-02-10T00:00:00Z,2.64,4.64,0.64,15.69,0
2020-02-11T00:00:00Z,3.29,5.29,1.29,15.04,0
